0, 17.08,
38, -0.60,
56, -18.24,
75, -36.01,
94, -53.73,
113, -88.47,
131, -88.54,
150, -88.66,
169, -88.58,
187, -88.50,
206, -88.62,
225, -88.58,
244, -88.56,
262, -88.65,
282, -88.78,
300, -88.69,
318, -88.64,
338, -88.58,
356, -88.55,
375, -88.44,
393, -88.40,
413, -88.48,
431, -88.43,
449, -88.49,
469, -88.56,
487, -88.56,
506, -88.51,
525, -88.55,
544, -88.39,
562, -88.34,
582, -88.41,
600, -88.34,
618, -88.40,
637, -88.52,
656, -88.50,
675, -88.42,
693, -88.59,
713, -88.53,
731, -88.39,
749, -88.49,
769, -88.60,
785, -88.52,
804, -88.54,
822, -88.66,
842, -88.65,
860, -88.60,
880, -88.56,
898, -88.49,
916, -88.37,
936, -88.24,
954, -88.23,
973, -88.36,
992, -88.49,
1011, -88.56,
1030, -88.61,
1048, -88.64,
1067, -88.54,
1086, -88.49,
1105, -88.58,
1124, -88.57,
1143, -88.52,
1161, -88.66,
1181, -88.68,
1199, -88.46,
1218, -88.56,
1237, -88.67,
1255, -88.52,
1275, -88.52,
1293, -88.66,
1313, -88.52,
1331, -88.59,
1351, -88.66,
1369, -88.64,
1387, -88.58,
1407, -88.73,
1425, -88.55,
1445, -88.42,
1463, -88.44,
1486, -88.48,
1504, -88.35,
1523, -88.42,
1542, -88.44,
1560, -88.27,
1580, -88.33,
1598, -88.48,
1617, -88.50,
1636, -88.49,
1655, -88.62,
1674, -88.65,
1693, -88.47,
1711, -88.44,
1730, -88.40,
1749, -88.31,
1768, -88.23,
1787, -88.28,
1805, -88.32,
1825, -88.40,
1843, -88.45,
1863, -88.42,
1881, -88.46,
1899, -88.34,
1919, -88.31,
1937, -88.35,
1956, -88.35,
1975, -88.36,
1994, -88.42,
2013, -88.33,
2032, -88.32,
2078, -88.35,
2096, -88.33,
2115, -88.34,
2134, -88.49,
2153, -88.56,
2172, -88.56,
2190, -88.53,
2213, -88.45,
2232, -88.45,
2251, -88.45,
2269, -88.41,
2289, -88.43,
2307, -88.54,
2326, -88.54,
2352, -88.43,
2370, -88.32,
2390, -88.21,
2408, -88.12,
2428, -88.08,
2446, -88.14,
2466, -88.20,
2484, -88.29,
2503, -88.25,
2522, -88.26,
2540, -88.23,
2560, -88.38,
2578, -88.51,
2597, -88.52,
2616, -88.53,
2635, -88.59,
2654, -88.55,
2673, -88.57,
2691, -88.68,
2710, -88.58,
2729, -88.68,
2748, -88.49,
2767, -88.48,
2785, -88.40,
2805, -88.49,
2823, -88.40,
2843, -88.51,
2861, -88.44,
2879, -88.60,
2902, -88.61,
2921, -88.64,
2940, -88.59,
2958, -88.56,
2978, -88.46,
2996, -88.42,
3016, -88.39,
3034, -88.42,
3052, -88.35,
3072, -88.33,
