Angular Velocity, Run #5
Time ( s )	Angular Velocity ( rad/s )
0.0500	-0.079
0.1500	-1.131
0.2500	-2.152
0.3500	-3.079
0.4500	-4.006
0.5500	-4.948
0.6500	-5.890
0.7500	-6.833
0.8500	-7.744
0.9500	-8.718
1.0500	-9.629
1.1500	-10.556
1.2500	-11.467
1.3500	-12.425
1.4500	-13.383
1.5500	-14.341
1.6500	-15.221
1.7500	-16.148
1.8500	-17.137
1.9500	-18.080
2.0500	-18.960
2.1500	-19.902
2.2500	-20.923
2.3500	-21.771
2.4500	-22.761
2.5500	-23.750
2.6500	-24.614
2.7500	-25.604
2.8500	-26.531
2.9500	-27.442
3.0500	-28.431
3.1500	-29.264
3.2500	-30.269
3.3500	-31.117
3.4500	-32.107
3.5500	-32.845
3.6500	-32.971
3.7500	-32.908
3.8500	-32.877
3.9500	-32.861
4.0500	-32.783
4.1500	-32.814
4.2500	-32.720
