Angular Velocity, Run #3
Time ( s )	Angular Velocity ( rad/s )
0.0500	-0.267
0.1500	-1.241
0.2500	-2.183
0.3500	-3.126
0.4500	-4.068
0.5500	-5.027
0.6500	-5.969
0.7500	-6.912
0.8500	-7.870
0.9500	-8.781
1.0500	-9.708
1.1500	-10.619
1.2500	-11.608
1.3500	-12.582
1.4500	-13.572
1.5500	-14.483
1.6500	-15.394
1.7500	-16.383
1.8500	-17.404
1.9500	-18.300
2.0500	-19.242
2.1500	-20.279
2.2500	-21.190
2.3500	-22.101
2.4500	-23.138
2.5500	-24.033
2.6500	-24.976
2.7500	-25.981
2.8500	-26.814
2.9500	-27.866
3.0500	-28.683
3.1500	-29.704
3.2500	-30.568
3.3500	-31.542
3.4500	-32.421
3.5500	-33.034
3.6500	-32.940
3.7500	-33.002
3.8500	-32.845
3.9500	-32.940
4.0500	-32.767
4.1500	-32.877
4.2500	-32.751
4.3500	-32.845
4.4500	-32.735
4.5500	-32.830
