Angular Velocity, Run #4
Time ( s )	Angular Velocity ( rad/s )
0.0500	-0.063
0.1500	0.016
0.2500	0.110
0.3500	-0.157
0.4500	-0.895
0.5500	-1.838
0.6500	-2.749
0.7500	-3.707
0.8500	-4.634
0.9500	-5.592
1.0500	-6.550
1.1500	-7.524
1.2500	-8.467
1.3500	-9.425
1.4500	-10.336
1.5500	-11.263
1.6500	-12.252
1.7500	-13.242
1.8500	-14.200
1.9500	-15.095
2.0500	-16.054
2.1500	-17.043
2.2500	-18.017
2.3500	-18.897
2.4500	-19.871
2.5500	-20.860
2.6500	-21.724
2.7500	-22.698
2.8500	-23.703
2.9500	-24.536
3.0500	-25.573
3.1500	-26.468
3.2500	-27.395
3.3500	-28.369
3.4500	-29.233
3.5500	-30.238
3.6500	-31.086
3.7500	-32.076
3.8500	-32.861
3.9500	-33.002
4.0500	-32.971
4.1500	-32.783
4.2500	-29.955
4.3500	-22.635
4.4500	-16.603
4.5500	-11.938
4.6500	-7.053
4.7500	-2.953
4.8500	0.361
4.9500	-0.267
5.0500	0.220
5.1500	0.267
5.2500	0.283
5.3500	0.267
5.4500	0.267
5.5500	0.267
5.6500	0.267
5.7500	0.251
5.8500	0.251
5.9500	0.251
6.0500	0.251
6.1500	0.236
6.2500	0.251
6.3500	0.236
6.4500	0.236
6.5500	0.236
6.6500	0.220
6.7500	0.220
