Angular Velocity, Run #1
Time ( s )	Angular Velocity ( rad/s )
0.0500	0.016
0.1500	0.000
0.2500	0.000
0.3500	0.094
0.4500	0.016
0.5500	-0.126
0.6500	-0.864
0.7500	-1.854
0.8500	-2.812
0.9500	-3.770
1.0500	-4.744
1.1500	-5.718
1.2500	-6.676
1.3500	-7.634
1.4500	-8.624
1.5500	-9.613
1.6500	-10.619
1.7500	-11.592
1.8500	-12.535
1.9500	-13.462
2.0500	-14.436
2.1500	-15.457
2.2500	-16.415
2.3500	-17.310
2.4500	-18.268
2.5500	-19.305
2.6500	-20.200
2.7500	-21.127
2.8500	-22.148
2.9500	-23.044
3.0500	-24.002
3.1500	-25.023
3.2500	-25.871
3.3500	-26.923
3.4500	-27.787
3.5500	-28.746
3.6500	-29.688
3.7500	-30.599
3.8500	-31.557
3.9500	-32.358
4.0500	-32.437
4.1500	-32.468
4.2500	-32.343
4.3500	-32.390
4.4500	-32.248
4.5500	-32.327
4.6500	-32.170
4.7500	-32.280
4.8500	-32.091
